product image url,product name,product discription,product price,product discount price,product per off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Green Strap, Regular","₹2,999","₹7,999",62% off
,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...","Carbon Black Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Blue Strap, Regular","₹1,299","₹5,999",78% off
,Noise Vision 2 Buzz with 1.7'' AMOLED Always On Display...,"Brown Strap, Regular","₹1,799","₹7,999",77% off
,"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Funct...","Elite Black Strap, Regular","₹1,399","₹6,999",80% off
,"Noise Fuse 1.38'' Round Display with Bluetooth Calling,...","Pink Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Metallic Black Strap, Regular","₹3,499","₹7,999",56% off
,Noise Force Plus 1.46'' AMOLED Always-On Display with B...,"Blue Strap, Regular","₹2,199","₹7,999",72% off
,"Noise ColorFit Caliberwith 15-day battery, 1.69"" displa...","Red Strap, Regular","₹1,199","₹3,999",70% off
,Noise Evolve 4 Metal Edition with 1.46 inch AMOLED Disp...,"Active Black Strap, Regular","₹3,499","₹8,999",61% off
,Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Call...,"Black Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Hexa 1.96"" AMOLED with ArcView Display, Bluetooth...","Classic Brown Strap, Regular","₹2,799","₹7,999",65% off
,"Noise Impact 2"" HD Display with Bluetooth Calling, Meta...","Blue Strap, Regular","₹1,499","₹6,999",78% off
,Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Call...,"Purple Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Crew Pro BT Calling with 1.4"" display, Metal Fini...","Black Strap, Regular","₹1,699","₹6,999",75% off
,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","Blue Strap, Regular","₹1,399","₹4,999",72% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Silver Strap, Regular","₹3,499","₹7,999",56% off
,"Noise Fuse Plus 1.43"" AMOLED display, Bluetooth Calling...","Black Strap, Regular","₹1,599","₹6,999",77% off
,"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","Forest Green Strap, Regular","₹2,199","₹6,999",68% off
,"Noise ColorFit Pro4 Max 1.8"" BT Calling, Noise detectio...","Black Strap, Regular","₹3,999","₹5,999",33% off
,Noise Evolve 4 1.46 AMOLED Always On Display with Premi...,"Space Blue Strap, Regular","₹2,799","₹7,999",65% off
,"Noise Fuse 1.38'' Round Display with Bluetooth Calling,...","Brown Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Hexa 1.96"" AMOLED with ArcView Display, Bluetooth...","Jet Black Strap, Regular","₹2,799","₹7,999",65% off
,"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","Midnight Gold Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","Classic Black Strap, Regular","₹1,399","₹6,999",80% off
,"Noise Venture 1.39 inch TruView Display, Rugged Design ...","Grey Strap, Regular","₹1,499","₹5,999",75% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Red Strap, Regular","₹1,399","₹5,999",76% off
,"Noise Qube 2 1.96"" Display with Bluetooth Calling, Buil...","Pink Strap, Regular","₹1,399","₹6,999",80% off
,"Noise Fuse 1.38'' Round Display with Bluetooth Calling,...","Black Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Impact 2"" HD Display with Bluetooth Calling, Meta...","Deep Wine Strap, Regular","₹1,499","₹6,999",78% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Classic Black Strap, Regular","₹2,999","₹7,999",62% off
,"Noise Mettle 1.4'' display, Stainless Steel finish with...","Blue Strap, Regular","₹2,199","₹7,999",72% off
,"Noise Thrill with 2"" Display with 3 Armored Layer Rugge...","Camo Green Strap, Regular","₹1,099","₹6,999",84% off
,"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes,...","Blue Strap, Regular","₹1,299","₹3,999",67% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Deep Wine Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Fuse Plus 1.43"" AMOLED display, Bluetooth Calling...","Blue Strap, Regular","₹1,599","₹6,999",77% off
,"Noise Icon 2 Vista Bluetooth Calling with 1.78"" AMOLED ...","Deep Wine Strap, Regular","₹1,299","₹6,999",81% off
,Noise Grace Women's Collection 1.1 AMOLED Display with ...,"Black Strap, Regular","₹3,499","₹5,999",41% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Brown Strap, Regular","₹2,999","₹7,999",62% off
,"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Funct...","Elite Silver Strap, Regular","₹1,399","₹6,999",80% off
,"Noise Icon 2 Vista 1.78"" AMOLED Display with Bluetooth ...","Pink Strap, Regular","₹1,299","₹6,999",81% off
,"Noise Venture 1.39 inch TruView Display, Rugged Design ...","Green Strap, Regular","₹1,499","₹5,999",75% off
,"Noise Qube 2 1.96"" display with Bluetooth Calling, Buil...","Blue Strap, Regular","₹1,399","₹6,999",80% off
,Noise Force Plus 1.46'' AMOLED Always-On Display with B...,"Grey Strap, Regular","₹2,199","₹7,999",72% off
,"Noise Caliber 3 Plus 1.96"" AMOLED Display, Functional C...","Black Strap, Regular","₹2,799","₹6,999",60% off
,"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Funct...","Black Strap, Regular","₹1,499","₹6,999",78% off
